month,bucket,offers
2022-01,XCH,677
2022-01,other_cat,439
2022-01,stablecoin,266
2022-01,unknown_nocode,23
2022-02,XCH,525
2022-02,other_cat,237
2022-02,stablecoin,297
2022-02,unknown_nocode,10
2022-03,XCH,770
2022-03,other_cat,289
2022-03,stablecoin,489
2022-03,unknown_nocode,7
2022-04,XCH,840
2022-04,other_cat,420
2022-04,stablecoin,432
2022-04,unknown_nocode,2
2022-05,XCH,1123
2022-05,other_cat,382
2022-05,stablecoin,750
2022-05,unknown_nocode,5
2022-06,NFT,227
2022-06,XCH,1535
2022-06,other_cat,554
2022-06,stablecoin,768
2022-06,unknown_nocode,6
2022-07,NFT,7817
2022-07,XCH,8508
2022-07,game_cat,1
2022-07,other_cat,879
2022-07,stablecoin,788
2022-07,unknown_nocode,971
2022-08,NFT,6219
2022-08,XCH,7730
2022-08,game_cat,1
2022-08,other_cat,1523
2022-08,stablecoin,557
2022-08,unknown_nocode,92
2022-09,NFT,7202
2022-09,XCH,9080
2022-09,game_cat,17
2022-09,other_cat,1726
2022-09,stablecoin,846
2022-09,unknown_nocode,20
2022-10,NFT,5112
2022-10,XCH,8947
2022-10,game_cat,7047
2022-10,other_cat,2357
2022-10,stablecoin,1211
2022-11,NFT,4352
2022-11,XCH,6827
2022-11,game_cat,6149
2022-11,other_cat,1551
2022-11,stablecoin,1282
2022-11,unknown_nocode,11
2022-12,NFT,5509
2022-12,XCH,7089
2022-12,game_cat,3858
2022-12,other_cat,2281
2022-12,stablecoin,785
2023-01,NFT,7452
2023-01,XCH,12702
2023-01,game_cat,4513
2023-01,other_cat,3032
2023-01,stablecoin,3749
2023-01,unknown_nocode,5
2023-02,NFT,7514
2023-02,XCH,9852
2023-02,game_cat,3495
2023-02,other_cat,1947
2023-02,stablecoin,1858
2023-02,unknown_nocode,4
2023-03,NFT,8413
2023-03,XCH,7510
2023-03,game_cat,6199
2023-03,other_cat,3059
2023-03,stablecoin,1574
2023-03,unknown_nocode,2
2023-04,NFT,3797
2023-04,XCH,4242
2023-04,game_cat,4280
2023-04,other_cat,1992
2023-04,stablecoin,870
2023-04,unknown_nocode,159
2023-05,NFT,8029
2023-05,TIBET_LP,976
2023-05,XCH,11783
2023-05,game_cat,435
2023-05,other_cat,5233
2023-05,stablecoin,982
2023-05,unknown_nocode,1
2023-06,NFT,15638
2023-06,TIBET_LP,806
2023-06,XCH,17040
2023-06,game_cat,1428
2023-06,other_cat,9439
2023-06,stablecoin,1345
2023-07,NFT,5774
2023-07,TIBET_LP,626
2023-07,XCH,6781
2023-07,game_cat,1155
2023-07,other_cat,9157
2023-07,stablecoin,312
2023-08,NFT,6948
2023-08,TIBET_LP,463
2023-08,XCH,9432
